name,id,tags,rarity,base price,stack size,cargo space,icon,sound id,sound id drop,plugin,plugin params,desc,order
XIV Battlegroup Blueprint Package,XIV_package,"package_bp, no_drop",,1000000,1000,1,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,XIV_bp,A set of blueprints that enable heavy industry to produce the near-legendary hulls employed by the Hegemony-founding XIV Battlegroup. The continued existence - and location - of these blueprints is subject of many rumors.,270
Hegemony Auxiliary Blueprint Package,heg_aux_package,package_bp,,20000,1000,1,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,heg_aux_bp,"A collection of modified blueprints that bring several civilian craft up to mil-spec or simply add Hegemony markings. Created shortly after the Collapse, some of these blueprints improve hull performance without the increased incidence of d-mods associated with later blueprint hacking efforts.",280
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Base Ship Blueprint,ship_bp,single_bp,,10000,1000,1,graphics/icons/cargo/blueprint_shiphull.png,ui_chip_pickup,ui_ship_bp_drop,com.fs.starfarer.api.campaign.impl.items.ShipBlueprintItemPlugin,,Enables heavy industry to construct ship hulls described by this blueprint.,300
Base Weapon Blueprint,weapon_bp,single_bp,,2000,1000,1,graphics/icons/cargo/blueprint_weapons.png,ui_chip_pickup,ui_weapon_bp_drop,com.fs.starfarer.api.campaign.impl.items.WeaponBlueprintItemPlugin,,Enables heavy industry to construct ship weapons described by this blueprint.,310
Base Fighter Blueprint,fighter_bp,single_bp,,3000,1000,1,graphics/icons/cargo/blueprint_fighter.png,ui_chip_pickup,ui_fighter_bp_drop,com.fs.starfarer.api.campaign.impl.items.FighterBlueprintItemPlugin,,Enables heavy industry to construct fighter LPCs described by this blueprint.,320
,,,,,,,,,,,,,
Base Industry Blueprint,industry_bp,,,20000,1000,1,graphics/icons/cargo/blueprint_industry.png,ui_chip_pickup,ui_industry_bp_drop,com.fs.starfarer.api.campaign.impl.items.IndustryBlueprintItemPlugin,,Contains the technological specifications needed to construct a planet-side industry or structure.,400
