id,trigger,conditions,script,text,options,notes
surveyOpenDeciv,OpenInteractionDialog,"$market.isPlanetConditionMarketOnly
$market.wasCivilized
$market.mc:decivilized score:100","ShowDefaultVisual
FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo","당신은 $entityName에 접근합니다.

무질서와 혼란이 $market에 가득합니다. 생존자들은 가능한한 모든 방법을 동원해 살아남으려 하고 있습니다. 간헐적으로 센서에 소형화기의 발사가 탐지됩니다. 모든 종류의 체제와 질서는 완전히, 돌이킬 수 없이 붕괴되었습니다. 하지만 여전히 폐허 위에 새로운 식민지를 건설할 수는 있을 것입니다.",,
surveyPrintFullData,PrintHasSurveyDataTextIfSo,$market.isSurveyed,,당신은 이 행성의 완전한 탐사 자료를 가지고 있습니다.,,
surveyAddOptionPerform,PopulateOptions,"$market.isPlanetConditionMarketOnly
!$market.isSurveyed",,,0:surveyPerform:행성을 탐사한다,
surveyPrintHostilesText,PrintNearbySurveyHostilesTextIfSo,"$market.isPlanetConditionMarketOnly
!$market.isSurveyed
HostileFleetNearbyAndAware",SetEnabled surveyPerform false,근처의 적대적인 함대가 당신의 움직임을 주시하고 있습니다. 지금 탐사를 진행하기는 어려울 것입니다.,,
surveyAddOptionPerformedAlready,PopulateOptions,"$market.isPlanetConditionMarketOnly
$market.isSurveyed
!$market.hasUnexploredRuins",,,0:surveyPerform:식민지를 건설한다,
surveyPrintHostilesTextEstColony,PrintNearbySurveyHostilesTextIfSo,"$market.isPlanetConditionMarketOnly
$market.isSurveyed
!$market.hasUnexploredRuins
HostileFleetNearbyAndAware",SetEnabled surveyPerform false,근처의 적대적인 함대가 당신의 움직임을 주시하고 있습니다. 지금 식민지를 건설하기는 어려울 것입니다.,,
surveyOptionPerformSurvey,DialogOptionSelected,$option == surveyPerform,OpenCoreTab CARGO OPEN,당신은 $entityName의 궤도로 진입합니다.,,
surveyAddOptionLeave,PopulateOptions,$market.isPlanetConditionMarketOnly,"SetShortcut surveyLeave ""ESCAPE""",,10:surveyLeave:떠난다,
surveyOptionLeave,DialogOptionSelected,$option == surveyLeave,DismissDialog,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
# market interactions,,,,,,
# default market interactions,,,,,,
marketOpen,OpenInteractionDialog,$hasMarket,"ShowDefaultVisual
PrintDescription 3
FireBest MarketPostOpen",당신은 $entityName에 접근합니다.,,
marketDock,MarketPostDock,,"$menuState = main 0
FireAll PopulateOptions",,,
marketOpenAfterEstablishOutpost,OutpostEstablished,$hasMarket,FireBest MarketPostOpen,"당신의 함대는 $market에 승무원과 보급품, 장비들을 내려놓습니다. 승무원들이 바쁘게 움직이며 임시 거주지와 간단한 기반 시설들이 세워집니다.",,
marketReturnFromBar,ReturnFromBar,,"$menuState = main 0
FireAll PopulateOptions",당신은 주점을 떠나 셔틀을 타고 함대로 귀환합니다.,,
marketPostOpenDefault,MarketPostOpen,"$hasMarket
$player.transponderOn
!$faction.isNeutralFaction","$tradeMode = OPEN 0
FireBest MarketPostDock","당신은 트랜스폰더를 통해 식별 코드를 발신하고, 얼마 지나지 않아 정박을 허가받습니다.",,
marketPostOpenDefaultNeutral,MarketPostOpen,"$hasMarket
$faction.isNeutralFaction score:100","$tradeMode = OPEN 0
FireBest MarketPostDock",,,
marketPostOpenNoTrade,MarketPostOpen,"$hasMarket
$player.transponderOn
!$faction.c:allowsTransponderOffTrade
!$market.mc:free_market
RepIsAtBest $faction.id INHOSPITABLE","$tradeMode = NONE 0
FireBest MarketPostDock","당신과 $TheFactionLong의 관계는 $relAdjective합니다. 식별 코드를 전송받은 당국은 당신의 정박 요청을 거부합니다.

트랜스폰더를 끄고 접근한다면 뒷세계의 인물들과 접촉할 수는 있을 것입니다.",,
marketPostOpenNoTradeHostile,MarketPostOpen,"$hasMarket
!$player.transponderOn
$market.playerHostileTimeout score:100","$tradeMode = NONE 0
FireBest MarketPostDock","최근 $market 주변에서 일어난 당신의 적대적인 행동은 상당한 눈길을 끌었습니다. 트랜스폰더를 끄는 것만으로는 불필요한 관심을 피할 수 없습니다. 현재 오가는 통신과 뉴스의 내용으로 보건대, 소란이 잦아들기까지는 $playerHostileTimeoutStr 가량이 소요될 것입니다.",,
marketPostOpenNoTradeHostileTOn,MarketPostOpen,"$hasMarket
$player.transponderOn
$market.playerHostileTimeout score:100","$tradeMode = NONE 0
FireBest MarketPostDock","최근 $market 주변에서 일어난 당신의 적대적인 행동은 상당한 눈길을 끌었습니다. 공개적으로 접근하는 것은 불가능합니다. 현재 오가는 통신과 뉴스의 내용으로 보건대, 소란이 잦아들기까지는 $playerHostileTimeoutStr 가량이 소요될 것입니다.",,
marketPostOpenNoTradeOffOpen,MarketPostOpen,"$hasMarket
$player.transponderOn
RepIsAtBest $faction.id INHOSPITABLE score:10","$tradeMode = NONE 0
FireBest MarketPostDock","당신과 $TheFactionLong의 관계는 $relAdjective합니다. 식별 코드를 전송받은 당국은 당신의 정박 요청을 거부합니다.

담당자의 거부는 다분히 형식적이었고, 트랜스폰더를 끈 채로 접근하면 더 좋은 결과를 얻을 수 있을 것입니다.",,
marketPostOpenToOffPatrols,MarketPostOpen,"$hasMarket
!$player.transponderOn
!$faction.c:allowsTransponderOffTrade
!$market.mc:free_market
IsSeenByPatrols $faction.id true","$tradeMode = NONE 0
AddText ""Your need to turn on your transponder to engage in legitimate trade, or to come in undetected to trade on the black market."" bad
FireBest MarketPostDock","당신은 $faction 항만 당국의 식별 요구를 무시하고 $market의 궤도로 진입합니다.

하나 이상의 $faction 순찰대가 당신을 감시하고 있습니다. 뒷세계 사람들은 위험을 무릅쓰면서까지 당신과 거래하려 하지는 않습니다.",,
marketPostOpenSought,MarketPostOpen,"$hasMarket
IsSoughtByPatrols $faction.id score:100","$tradeMode = NONE 0
FireBest MarketPostDock","당신은 $market에 접근합니다.

하나 이상의 $faction 순찰대가 당신을 추적하고 있으며, 항만 당국은 용건이 해결될 때까지 당신의 정박 요청을 거부합니다.",,
marketPostOpenToOffIsFine,MarketPostOpen,"$hasMarket
!$player.transponderOn","$tradeMode = OPEN 0
FireBest MarketPostDock",당신은 $market의 궤도로 진입합니다. 항만 당국은 당신이 (불행히도)트랜스폰더를 켤 수 없는 이유에 대해서 별 이의를 제기하지 않습니다.,,
marketPostOpenPlayerOwnerd,MarketPostOpen,"$hasMarket
$market.isPlayerOwned score:1000","$tradeMode = OPEN 0
FireBest MarketPostDock",당신은 $market의 궤도로 진입합니다.,,
marketPostOpenToOffSneak,MarketPostOpen,"$hasMarket
!$player.transponderOn
!$faction.c:allowsTransponderOffTrade
!$market.mc:free_market","$tradeMode = SNEAK 0
FireBest MarketPostDock","당신은 $faction 항만 당국의 식별 요구를 무시하고 $market의 궤도로 진입합니다.

당신을 발견한 $faction 순찰대는 아직 없으므로, 당신이 정박 허가를 받지 않았다는 사실에 크게 신경쓰지 않는 이들과 거래를 진행할 기회가 있습니다.",,
marketAddOptionCommDir,PopulateOptions,"$hasMarket
$menuState == main
!$faction.isNeutralFaction",,,1:marketCommDir:지역 연락처 목록을 읽는다,
marketOptTradeMulti,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
!$faction.isNeutralFaction
$faction.id != player",MakeOptionOpenCore marketOpenCoreUI CARGO $tradeMode,,"10:marketOpenCoreUI:상품을 거래하거나, 승무원을 고용하거나, 함선을 거래 또는 개장한다",
marketOptTradeMulti2,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
$faction.isNeutralFaction",MakeOptionOpenCore marketOpenCoreUI CARGO $tradeMode,,10:marketOpenCoreUI:물품 또는 함선을 옮긴다,
marketOptTradeMulti3,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
$faction.id == player",MakeOptionOpenCore marketOpenCoreUI CARGO $tradeMode,,10:marketOpenCoreUI:식민지를 관리한다,
marketOptTradeMulti4,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == NONE",MakeOptionOpenCore marketOpenCoreUI CARGO $tradeMode,,10:marketOpenCoreUI:식민지 정보를 확인한다,
marketOptBar,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
!$faction.isNeutralFaction",,,5:marketVisitBar:공항 주점으로 가는 셔틀에 탑승한다,
marketOptHostile,PopulateOptions,"$hasMarket
$menuState == main
!$faction.isNeutralFaction
$faction.id != player",,,20:marketConsiderHostile:군사행동을 고려한다,
marketHostileSel,DialogOptionSelected,$option == marketConsiderHostile,MarketCMD showDefenses,,,
marketHostileGoBackSel,DialogOptionSelected,$option == mktGoBack,"ShowDefaultVisual
FireAll PopulateOptions",,,
marketHostileEngageSel,DialogOptionSelected,$option == mktEngage,MarketCMD engage,,,
marketHostileRaidSel,DialogOptionSelected,$option == mktRaid,MarketCMD raidMenu,,,
marketHostileRaidGoBackSel,DialogOptionSelected,$option == mktRaidGoBack,MarketCMD goBackToDefenses,,,
marketHostileRaidRareSel,DialogOptionSelected,$option == mktRaidRare,MarketCMD raidRare,,,Unused.
marketHostileRaidValuableSel,DialogOptionSelected,$option == mktRaidValuable,MarketCMD raidValuable,,,
marketHostileRaidDisruptSel,DialogOptionSelected,$option == mktRaidDisrupt,MarketCMD raidDisrupt,,,
marketHostileRaidConfirmSel,DialogOptionSelected,$option == mktRaidConfirm,MarketCMD raidConfirm,,,
marketHostileRaidNeverMindSel,DialogOptionSelected,$option == mktRaidNeverMind,MarketCMD raidNeverMind,,,
marketHostileRaidResultSel,DialogOptionSelected,$option == mktRaidResult,MarketCMD raidResult,,,
,,,,,,
marketHostileBombardSel,DialogOptionSelected,$option == mktBombard,MarketCMD bombardMenu,,,
marketHostileBombardGoBackSel,DialogOptionSelected,$option == mktBombardGoBack,MarketCMD goBackToDefenses,,,
marketHostileBombardTacticalSel,DialogOptionSelected,$option == mktBombardTactical,MarketCMD bombardTactical,,,
marketHostileBombardSaturationSel,DialogOptionSelected,$option == mktBombardSaturation,MarketCMD bombardSaturation,,,
marketHostileBombardConfirmSel,DialogOptionSelected,$option == mktBombardConfirm,MarketCMD bombardConfirm,,,
marketHostileBombardNeverMindSel,DialogOptionSelected,$option == mktBombardNeverMind,MarketCMD bombardNeverMind,,,
marketHostileBombardResultSel,DialogOptionSelected,$option == mktBombardResult,MarketCMD bombardResult,,,
,,,,,,
,,,,,,
marketAddOptionRepair1,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
RepairAvailable
RepairNeeded
RepairEnoughSupplies","SetTooltip marketRepair ""수리에 $global.repairSupplyCost 보급품이 필요합니다. 당신은 $player.supplies 보급품을 보유중입니다.""
SetTooltipHighlightColors marketRepair buttonShortcut buttonShortcut
SetTooltipHighlights marketRepair $global.repairSupplyCost $player.supplies
SetShortcut marketRepair ""A"" true",,15:marketRepair:함선들을 수리한다,
marketAddOptionRepair2,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
RepairAvailable
!RepairNeeded","SetTooltip marketRepair ""수리가 필요하지 않습니다.""
SetShortcut marketRepair ""A"" true
SetEnabled marketRepair false",,15:marketRepair:함선들을 수리한다,
marketAddOptionRepair3,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
RepairAvailable
RepairNeeded
!RepairEnoughSupplies","SetTooltip marketRepair ""수리에 $global.repairSupplyCost 보급품이 필요합니다. 당신은 $supplies 보급품만을 보유중입니다.""
SetTooltipHighlightColors marketRepair buttonShortcut buttonShortcut
SetTooltipHighlights marketRepair $global.repairSupplyCost $player.supplies
SetShortcut marketRepair ""A"" true
SetEnabled marketRepair false",,15:marketRepair:함선들을 수리한다,
marketAddOptionLeave,PopulateOptions,"$hasMarket
$menuState == main","SetTooltip marketLeave $marketLeaveTooltip
SetShortcut marketLeave ""ESCAPE""",,100:marketLeave:떠난다,
,,,,,,
marketOpenCoreSel,DialogOptionSelected,$option == marketOpenCoreUI,,,,
marketOptionTradeCargo,DialogOptionSelected,$option == marketTradeCargo,OpenCoreTab CARGO $tradeMode,당신은 항구의 화물 관리 시스템에 연결해 내용을 확인합니다.,,
marketOptionTradeShips,DialogOptionSelected,$option == marketTradeShips,OpenCoreTab FLEET $tradeMode,당신은 선착장에 연결해 매물을 확인합니다.,,
marketOptionRefit,DialogOptionSelected,$option == marketRefit,OpenCoreTab REFIT $tradeMode,당신은 선착장에 연결해 함대 상태를 송신합니다.,,
marketOptionRepairAll,DialogOptionSelected,$option == marketRepair,"RepairAll
SetTextHighlights $global.repairSupplyCost
SetEnabled marketRepair false
SetTooltip marketRepair ""수리가 필요하지 않습니다.""",당신의 함대는 수리를 끝마치고 완전한 전투준비상태를 갖췄습니다. $global.repairSupplyCost 보급품이 소모되었습니다.,,
marketOptionCommDir,DialogOptionSelected,$option == marketCommDir,OpenCommDirectory,당신은 지역의 연락처 목록에 연결하여 공개 연락처나 당신이 아는 이들의 목록을 읽습니다.,,
marketOptionLeave,DialogOptionSelected,$option == marketLeave,DismissDialog,,,
,,,,,,
,,,,,,
# Food Shortage Event finish,,,,,,
marketPostOpenFSEPlayerFast,FoodShortageEndedByPlayerSale,"$hasMarket
$market.foodShortageEndedByPlayerFast","unsetAll $market.foodShortage
FireBest MPOAddContinue",당신 덕분에 $market의 식량난은 큰 혼란을 일으키기 전에 종결되었습니다. $market의 장기적인 안정도는 타격을 입지 않았습니다.,,
marketPostOpenFSEPlayer,FoodShortageEndedByPlayerSale,"$hasMarket
$market.foodShortageEndedByPlayer","unsetAll $market.foodShortage
FireBest MPOAddContinue",당신 덕분에 $market의 식량난은 종결되었습니다. $market의 안정도 감소량이 줄어듭니다.,,
marketPostOpenFSEPlayerBlack,FoodShortageEndedByPlayerSale,"$hasMarket
$market.foodShortageEndedByPlayerBlack","unsetAll $market.foodShortage
FireBest MPOAddContinue","당신의 비공식적인 활동 덕에 $market의 식량난은 종결되었습니다. 당신이 공급한 대부분의 식량은 적법성에 문제가 있는 경로를 거쳤기 때문에, 공식적으로 인정받기는 힘들 것입니다(아마 당신이 원하지도 않았을 것이고).",,
marketPostOpenFSEMixedIndirect,MarketPostOpen,"$hasMarket
!$market.mc:event_food_shortage
$market.foodShortagePartiallyEndedByPlayerRemote score:1000","unsetAll $market.foodShortage
FireBest MarketPostOpen",최근의 식량난을 종결하는 데 당신의 활동도 일부 기여했습니다. 당신과 $theMarketFaction의 관계가 조금 개선될 것입니다.,,
marketPostOpenFSENonPlayer,MarketPostOpen,"$hasMarket
!$market.mc:event_food_shortage
$market.foodShortageEndedByNPC score:1000","unsetAll $market.foodShortage
FireBest MarketPostOpen","통신망을 통해 지역 뉴스를 읽던 당신은 최근 식량난이 발생했다는 사실을 알게 됩니다. 지금은 이미 해결되었지만, 아직 상황은 조금 불안정합니다.",,
marketPostOpenFSEExpired,MarketPostOpen,"$hasMarket
!$market.mc:event_food_shortage
$market.foodShortageExpired score:1000","unsetAll $market.foodShortage
FireBest MarketPostOpen","통신망을 통해 지역 뉴스를 읽던 당신은 최근 식량난이 발생했다는 사실을 알게 됩니다. 지금은 이미 해결되었지만, 아직 상황은 매우 불안정합니다.",,
marketPostOpenAddContinue,MPOAddContinue,,,,mpoContinue:계속…,
marketPostOpenContinue,DialogOptionSelected,$option == mpoContinue,"#OpenCoreTab CARGO $lastTradeMode
FireBest MarketPostOpen",,,
,,,,,,
# default fleet greeting lines,,,,,,
greetingNoComms,OpenCommLink,$entity.ignorePlayerCommRequests score:10000,"ShowDefaultVisual
EndConversation NO_CONTINUE","당신은 통신을 연결하려 하지만, 잡음만이 들려옵니다.",,
greetingDefaultTOffNormal,OpenCommLink,"!$player.transponderOn
$entity.relativeStrength >= 0",,"$PersonRank $personName의 반응으로 보아, 상당히 불쾌한 듯합니다. ""대화하고 싶다면 먼저 신분을 밝히시지.""","turnOnTransponder:트랜스폰더를 켠다
cutCommLink:통신을 끊는다",
greetingDefaultTOffWeaker,OpenCommLink,"!$player.transponderOn
$entity.relativeStrength < 0",,"$PersonRank $personName의 긴장한 기색이 어린 얼굴이 나타납니다. ""대화하고 싶다면 먼저 신분을 밝히십시오.""","turnOnTransponder:트랜스폰더를 켠다
cutCommLink:통신을 끊는다",
greetingDefaultTurnOnT,DialogOptionSelected,$option == turnOnTransponder,"ActivateAbility $player.fleetId transponder
UpdateMemory
FireBest OpenCommLink",당신은 트랜스폰더를 켜도록 지시하고 다시 통신을 연결합니다.,,
greetingDefaultFriendly,OpenCommLink,$faction.friendlyToPlayer,"$menuState = fleetConvMain 0
FireAll PopulateOptions","""AIS 코드 수신 확인. 만나서 반갑습니다, $playerName.""",,
greetingDefaultHostileWeaker,OpenCommLink,"$entity.isHostile
$entity.relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""적대적 함선에게 알린다. 인근 순찰대에 구조신호를 발신했고 곧 도착할 것이다.""",cutCommLink:통신을 끊는다,
greetingDefaultHostileWeakerDefiant,OpenCommLink,"$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"상대는 심각한 표정이지만, 전의를 다집니다. ""우리는 마지막 한 명까지 싸울 것이다.""
OR
""젠장, 난감한데 이거."" $PersonRank $personName의 목소리가 들립니다. 그는 통신이 연결되어 있다는 것을 깨닫고 끊어버립니다.",cutCommLink:통신을 끊는다,
greetingDefaultHostileStronger,OpenCommLink,"$entity.isHostile
$entity.relativeStrength >= 0",EndConversation,상대는 당신과 대화할 필요를 느끼지 못하는 듯합니다. 통신은 응답이 없습니다.,,
greetingDefaultNeutral,OpenCommLink,$faction.neutralToPlayer,"$menuState = fleetConvMain 0
FireAll PopulateOptions","""스캔 및 식별 완료. 안전한 거리를 유지해 주시면 서로 편할 것 같군요.""",,
# Hegemony fleet greeting lines,,,,,,
greetingHegemonyFriendly,OpenCommLink,"$faction.id == hegemony
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""식별 코드 수신 확인, 보안 채널로 연결."" 잡음과 함께 불사조 문양이 번쩍입니다. ""무슨 일입니까? 별 문제는 없지요? 그렇다니 다행이군요, 시민.""
OR
""스캔 및 식별 완료. 아무 문제 없군. 안전한 항해가 되기를, 시민.""
OR
""스캔 및 식별 완료. 멋진 배로군요, 시민. 깔끔한 도약과 잠잠한 초공간이 함께하길."" 금빛 불사조 문양과 함께 $PersonRank $personName의 통신이 끊어집니다.",,
greetingHegemonyHostileWeaker,OpenCommLink,"$faction.id == hegemony
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""적대적인 함선에게 알린다. 행성계 순찰대에 긴급 신호가 전달되었고 지원군이 접근중이다. 무기 전원을 내리고 이탈하라. 이상.""
OR
""적대적 함선! 헤게모니 선박에 대한 공격은 반란으로 간주되어 추적될 것이다!"" 헤게모니 장교는 식은땀을 흘립니다. ""붙잡혔다간 그대로 회쳐져서 섹터 사방 행성의 암시장에서 팔릴 거라고.""
OR
""우리는 도메인의 재건과 온 인류를 위해 생명을 바칠 것을 맹세했다."" 그는 뭔가를 더 말하려는 듯 잠시 멈췄다가, 그냥 통신을 끊습니다.",cutCommLink:통신을 끊는다,
greetingHegemonyHostileWeakerDefiant,OpenCommLink,"$faction.id == hegemony
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"상대는 심각한 표정이지만, 전의를 다집니다. ""우리는 마지막 한 명까지 싸울 것이다.""
OR
""우리는 도메인과 인류를 위하여 싸우다 죽는다."" 통신이 끊어집니다.",cutCommLink:통신을 끊는다,
greetingHegemonyHostileStronger,OpenCommLink,"$faction.id == hegemony
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"""헤게모니 최고행정관의 권위로 명령한다. 초공간 항법 장치와 무장의 전원을 내리고 항복하라. 이상.""
OR
""헤게모니 당국자에 대한 저항은 반란으로 간주되어 처벌될 것이다. 지금 항복하지 않으면 무력을 동원하겠다.""",cutCommLink:통신을 끊는다,
greetingHegemonyNeutral,OpenCommLink,"$faction.id == hegemony
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""You have been scanned and identified, citizen. If nothing is amiss, we shall be on our way.""
OR
The Hegemony $personRank looks impatient. ""Is there an emergency to report? No? Then carry on, citizen.""",,
# Tri-Tachyon fleet greeting lines,,,,,,
greetingTTFriendly,OpenCommLink,"$faction.id == tritachyon
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""신원 확인. 트라이-타키온을 대표해 환영합니다.""
OR
""미안합니다, 친구. 본함은 기밀 임무 수행중입니다. 순탄한 항해를.""
OR
""트라이-타키온 사를 대표해 인사드립니다. 필요하신 것이 있다면 용건을 말씀해 주십시오 -- 물론 적절한 금액이 청구될 겁니다.""
OR
""통신 연결. 오, 혹시 트라이-타키온 간부용 우주여행 액세서리 카탈로그 최신판이 있으십니까? 고객지원 담당자에게 연락해서 보내드리겠습니다.""

통신장교의 콘솔이 알림음을 발합니다.
OR
""오, 안녕하세요! 트라이-링크에 친구 신청해도 됩니까?""",,
greetingTTHostileWeaker,OpenCommLink,"$faction.id == tritachyon
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""Attention. Your vessel has been scanned and identified as hostile to the Tri-Tachyon corporation. Further attempts at aggression will be recorded.""
OR
""Any attempt to hinder or damage this Tri-Tachyon owned and operated vessel will result in legal consequences."" The Tri-Tachyon $personRank looks nervous. ""Trust me, these people don't mess around, you really ought to leave me alone.""",cutCommLink:통신을 끊는다,
greetingTTHostileWeakerDefiant,OpenCommLink,"$faction.id == tritachyon
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"The Tri-Tachyon $personRank looks grim but defiant. ""Corporate regulation 313.33, section A, states that combat-capable vessels must defend themselves in a vigorous manner at all times,"" $heOrShe says.",cutCommLink:통신을 끊는다,
greetingTTHostileStronger,OpenCommLink,"$faction.id == tritachyon
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"""Attention. Your vessel has been scanned and identified as hostile to the Tri-Tachyon corporation. Prepare for annihilation.""
OR
""On behalf of the Tri-Tachyon corporation I would like to thank you for providing this opportunity to prove the superiority of our branded line of space defense products.""
OR
""On behalf of the Tri-Tachyon corporation it is my duty to inform you that this engagement will be recorded. As a presumed belligerent engaged in destruction of wholly owned Company property, you automatically refuse all rights to distribution and profit-sharing."" The Tri-Tachyon $personRank grins and cuts the comm-link.",cutCommLink:통신을 끊는다,
greetingTTNeutral,OpenCommLink,"$faction.id == tritachyon
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""On behalf of the Tri-Tachyon corporation it is my pleasure to inform you that your $shipOrFleet has been scanned and its tactical loadout evaluated. Please maintain your distance and have a nice day.""
OR
""Greetings on behalf of the Tri-Tachyon corporation. Feel free to admire our Tri-Tachyon modified ships equipped with the latest in Tri-Tachyon branded space defense products, but please maintain a safe distance. The Company takes property damage very seriously.""
OR
The comm opens to a spinning Tri-Tachyon logo.""The Tri-Tachyon corporation prioritizes the needs of every customer and value-partner, however all of our service representatives are currently-""

You cut the link. They don't seem interested in talking right now.",,
