id,name,order,description,combat officer,admiral,admin,tags,icon,
flux_modulation,동력계 조율,155,Preventive maintenance and some inspired on-the-fly adjustments can greatly increase the capacity of the ship's power grid.,TRUE,,,,graphics/icons/skills/power_grid_manipulation.png,
electronic_warfare,전자전,160,Deploying sensor jammers at key locations in the battlespace is common practice. A dedicated focus on electronic warfare allows all ships to supplement these in establishing sensor-wavefield dominance.,,TRUE,,,graphics/icons/skills/EW.png,
ship_design,무장 설계,170,"The baseline specifications for ship loadouts are notoriously conservative, and an experienced engineer can push them well above their stated limits.",,,,,graphics/icons/skills/loadout_design.png,
sensors,센서,180,A deep knowledge of sensor systems enables one to both tune arrays for improved detection capacity and adjust drive fields to help avoid detection.,,,,,graphics/icons/skills/sensors.png,
,,,,,,,,,
navigation,항해술,230,"An experienced navigator can put their hard-won knowledge to use in effectively passing through nebulas, asteroid fields, and other similar terrain.",,,,,graphics/icons/skills/navigation.png,
,,,,,,,,,
,,,,,,,,,
safety_procedures,안전 수칙,250,"Practical experience under conditions of extreme wear on equipment is invaluable, and the lessons learned can extend the life of both the equipment and the crew operating it.",,,,,graphics/icons/skills/safety_procedures.png,
recovery_operations,복구 작업,260,"Extracting working equipment or even useful replacement parts out of wreckage requires broad technical knowledge, prudence, and a willingness to take calculated risks.",,,,,graphics/icons/skills/recovery_ops.png,
field_repairs,야전 수리,270,"Creative re-purposing of existing components and jury-rigging systems seemingly beyond repair are par for the course for any engineer, whether they're repairing extensive battle damage or making ship modifications in the field.",,,,,graphics/icons/skills/field_repairs.png,
#surveying,행성 탐사,280,"An experienced surveyor is able to assess more hazardous planets, which in turn tend to have the more valuable natural resources.",,,,,graphics/icons/skills/surveying.png,
salvaging,잔해 인양,290,The skills required to get the find the most valuable items and extract the most resources out of the various derelicts found on the Sector's fringes.,,,,,graphics/icons/skills/salvaging.png,
,,,,,,,,,
colony_management,식민지 관리,300,"Juggling the competing needs of the outposts, colonies, and waystations under one's personal control - as well as the administrators assigned to govern the rest - requires a specialized set of both inter-personal and logistical skills.",,,,,graphics/icons/skills/colony_management.png,
industrial_planning,산업 계획,310,"While the typical economy of a colony is not centralized, sound planning is critical to channeling that economy in the most productive and profitable fashion.",,,TRUE,,graphics/icons/skills/industrial_planning.png,
planetary_operations,지상 작전,320,"A detailed knowledge of tactics to do with all combat operations on or around planets and fixed orbital installations, from raids and raid defenses to bombardments to the optimal employment of orbital defenses in combat.",,,TRUE,,graphics/icons/skills/planetary_ops.png,
